,number,value,datetime_start,datetime_complete,duration,params_L1_wt,params_alpha,state
0,0,0.7449880145353659,2023-04-25 15:41:17.175417,2023-04-25 15:44:44.415126,0 days 00:03:27.239709,0.9835020255815248,0.1253671961447278,COMPLETE
1,1,0.7471279121635198,2023-04-25 15:44:44.415126,2023-04-25 15:48:44.067092,0 days 00:03:59.651966,0.28108351790124475,0.31974042475821385,COMPLETE
2,2,1.095488824611838,2023-04-25 15:48:44.067092,2023-04-25 15:51:34.612858,0 days 00:02:50.545766,0.7860251358626149,1.0781294293914314,COMPLETE
3,3,0.8801261313637818,2023-04-25 15:51:34.612858,2023-04-25 15:55:19.708624,0 days 00:03:45.095766,0.12773353413331423,1.1037717002058063,COMPLETE
4,4,1.1077036077532934,2023-04-25 15:55:19.708624,2023-04-25 15:58:08.186958,0 days 00:02:48.478334,0.7820264019980374,1.1807288546488781,COMPLETE
5,5,0.9339341153516199,2023-04-25 15:58:08.186958,2023-04-25 16:01:23.395701,0 days 00:03:15.208743,0.3807432474086859,0.7187244077470012,COMPLETE
6,6,1.159695345480442,2023-04-25 16:01:23.395701,2023-04-25 16:04:09.548282,0 days 00:02:46.152581,0.9869848602500552,1.521251946577179,COMPLETE
7,7,0.9426234504864377,2023-04-25 16:04:09.548282,2023-04-25 16:07:22.365187,0 days 00:03:12.816905,0.38073731602293914,0.7502644393512703,COMPLETE
8,8,1.1719299934890564,2023-04-25 16:07:22.365187,2023-04-25 16:10:08.701330,0 days 00:02:46.336143,0.7590388502041593,1.9879453931506998,COMPLETE
9,9,0.8931817728366527,2023-04-25 16:10:08.701330,2023-04-25 16:13:29.785704,0 days 00:03:21.084374,0.6045153720016702,0.41436506659029226,COMPLETE
10,10,0.8611806969130413,2023-04-25 16:13:29.785704,2023-04-25 16:16:58.946024,0 days 00:03:29.160320,0.9053214476463894,0.2553481101179203,COMPLETE
11,11,0.7294145423240934,2023-04-25 16:16:58.946024,2023-04-25 16:21:24.843887,0 days 00:04:25.897863,0.9696999924535907,0.11327526797703978,COMPLETE
12,12,0.7802067204200953,2023-04-25 16:21:24.843887,2023-04-25 16:25:20.817226,0 days 00:03:55.973339,0.9968852743565995,0.15500556944396832,COMPLETE
13,13,0.6275691757683451,2023-04-25 16:25:20.817226,2023-04-25 16:32:04.123125,0 days 00:06:43.305899,0.7122617152391402,0.02404672197031095,COMPLETE
14,14,0.6448927426838588,2023-04-25 16:32:04.123125,2023-04-25 16:37:37.383343,0 days 00:05:33.260218,0.5649319964113859,0.05850006612423994,COMPLETE
15,15,0.6516906164186926,2023-04-25 16:37:37.383343,2023-04-25 16:42:55.888861,0 days 00:05:18.505518,0.6021493434450793,0.06539657867882066,COMPLETE
16,16,0.7319625709159772,2023-04-25 16:42:55.904515,2023-04-25 16:46:42.063954,0 days 00:03:46.159439,0.5008027525923144,0.19367620231862137,COMPLETE
17,17,0.6349947358643391,2023-04-25 16:46:42.063954,2023-04-25 16:52:39.738309,0 days 00:05:57.674355,0.5964027169144924,0.041445307052274026,COMPLETE
18,18,1.033502247922549,2023-04-25 16:52:39.738309,2023-04-25 16:55:04.650814,0 days 00:02:24.912505,0.7526664946735554,0.7377998946598384,COMPLETE
19,19,0.642250988884091,2023-04-25 16:55:04.650814,2023-04-25 17:01:36.939140,0 days 00:06:32.288326,0.13417453824331171,0.1187945226282829,COMPLETE
20,20,0.7334146798316682,2023-04-25 17:01:36.939140,2023-04-25 17:05:10.643727,0 days 00:03:33.704587,0.706778001012056,0.1506342148642852,COMPLETE
21,21,0.6593609487035094,2023-04-25 17:05:10.643727,2023-04-25 17:11:05.792995,0 days 00:05:55.149268,0.019266969544114637,0.2520213350022276,COMPLETE
22,22,0.6645920667996721,2023-04-25 17:11:05.792995,2023-04-25 17:15:57.062782,0 days 00:04:51.269787,0.2687612154563437,0.13942308145078833,COMPLETE
23,23,0.7434090995901846,2023-04-25 17:15:57.062782,2023-04-25 17:20:30.251898,0 days 00:04:33.189116,0.017131401025316073,0.7584946210439376,COMPLETE
24,24,0.6349614196346065,2023-04-25 17:20:30.251898,2023-04-25 17:26:32.529973,0 days 00:06:02.278075,0.21006844810383124,0.07842409842886176,COMPLETE
25,25,0.6241528586545267,2023-04-25 17:26:32.529973,2023-04-25 17:35:03.229788,0 days 00:08:30.699815,0.29800721885630543,0.0081939325951636,COMPLETE
26,26,0.6277775318305022,2023-04-25 17:35:03.229788,2023-04-25 17:41:47.671815,0 days 00:06:44.442027,0.2975186054012358,0.046312910299582254,COMPLETE
27,27,0.6448006259031083,2023-04-25 17:41:47.687457,2023-04-25 17:47:34.887412,0 days 00:05:47.199955,0.4022482014863473,0.07390136322682372,COMPLETE
28,28,1.1145328706837163,2023-04-25 17:47:34.887412,2023-04-25 17:49:56.049004,0 days 00:02:21.161592,0.5728102846657287,1.5434913087493807,COMPLETE
29,29,1.030140766338153,2023-04-25 17:49:56.049004,2023-04-25 17:52:27.818883,0 days 00:02:31.769879,0.2692706099400422,1.5164824704232305,COMPLETE
30,30,0.8148237094833621,2023-04-25 17:52:27.818883,2023-04-25 17:55:56.679051,0 days 00:03:28.860168,0.2674103537342166,0.5048035144424902,COMPLETE
31,31,0.6266883782949269,2023-04-25 17:55:56.679051,2023-04-25 18:03:51.673979,0 days 00:07:54.994928,0.17790094249505264,0.05631486055655628,COMPLETE
32,32,0.6491440888691193,2023-04-25 18:03:51.673979,2023-04-25 18:10:31.917465,0 days 00:06:40.243486,0.26770955147329867,0.10426067698969212,COMPLETE
33,33,0.6297407326990301,2023-04-25 18:10:31.917465,2023-04-25 18:17:33.412440,0 days 00:07:01.494975,0.34477880933366045,0.04763369573574878,COMPLETE
34,34,1.0962075981495116,2023-04-25 18:17:33.428119,2023-04-25 18:19:57.587997,0 days 00:02:24.159878,0.3494059111650052,1.9020296716028828,COMPLETE
35,35,0.9436608120635327,2023-04-25 18:19:57.588985,2023-04-25 18:23:07.609549,0 days 00:03:10.020564,0.11254324696746854,1.632433425696204,COMPLETE
36,36,1.0195440207819377,2023-04-25 18:23:07.609549,2023-04-25 18:25:45.144033,0 days 00:02:37.534484,0.38902115693471195,1.1117780126247763,COMPLETE
37,37,0.622011424166446,2023-04-25 18:25:45.145824,2023-04-25 18:32:25.180027,0 days 00:06:40.034203,0.09628330806721253,0.04257655964356319,COMPLETE
38,38,0.6616529742127102,2023-04-25 18:32:25.181009,2023-04-25 18:38:32.819161,0 days 00:06:07.638152,0.0034028482088614698,0.2801089927763256,COMPLETE
39,39,0.621216146864524,2023-04-25 18:38:32.835319,2023-04-25 18:45:53.965750,0 days 00:07:21.130431,0.011678563861382218,0.019226404269055794,COMPLETE
40,40,0.6290275683336739,2023-04-25 18:45:53.965750,2023-04-25 18:53:23.462514,0 days 00:07:29.496764,0.09155071211763295,0.0016105299533996711,COMPLETE
41,41,0.6207802356151417,2023-04-25 18:53:23.462514,2023-04-25 19:01:14.385354,0 days 00:07:50.922840,0.04860064194722539,0.03371995555644025,COMPLETE
42,42,0.6240538512454581,2023-04-25 19:01:14.385354,2023-04-25 19:08:42.132634,0 days 00:07:27.747280,0.0828335282468197,0.00907116966104384,COMPLETE
43,43,0.6209088043518542,2023-04-25 19:08:42.132634,2023-04-25 19:15:40.668831,0 days 00:06:58.536197,0.07731218639949482,0.030950612180835772,COMPLETE
44,44,0.6207136690345039,2023-04-25 19:15:40.668831,2023-04-25 19:22:38.745045,0 days 00:06:58.076214,0.03869514071972703,0.03576766593456146,COMPLETE
45,45,0.6434566980390131,2023-04-25 19:22:38.745045,2023-04-25 19:28:34.516052,0 days 00:05:55.771007,0.04291499876600841,0.1603785174500942,COMPLETE
46,46,0.6247240791054434,2023-04-25 19:28:34.516052,2023-04-25 19:38:09.010587,0 days 00:09:34.494535,0.052771434585128126,0.007717769760823577,COMPLETE
47,47,0.6315326932077734,2023-04-25 19:38:09.010587,2023-04-25 19:45:56.769525,0 days 00:07:47.758938,0.018240692937404247,0.11375086118023288,COMPLETE
48,48,0.7662009470661716,2023-04-25 19:45:56.770546,2023-04-25 19:49:46.340618,0 days 00:03:49.570072,0.1549873658169397,0.5109077520497677,COMPLETE
49,49,0.7076076186097617,2023-04-25 19:49:46.340618,2023-04-25 19:54:59.396633,0 days 00:05:13.056015,0.03230764291426756,0.4864541166542384,COMPLETE
50,50,0.6254631770866431,2023-04-25 19:54:59.396633,2023-04-25 20:03:48.787855,0 days 00:08:49.391222,0.02678275205520221,0.006192483575520838,COMPLETE
51,51,0.6394007464506182,2023-04-25 20:03:48.787855,2023-04-25 20:12:34.950672,0 days 00:08:46.162817,0.0030598593079837963,0.16201106510547825,COMPLETE
52,52,0.6293757812091586,2023-04-25 20:12:34.950672,2023-04-25 20:21:43.529060,0 days 00:09:08.578388,0.11609703793792883,0.0013064597904600649,COMPLETE
53,53,0.6282400647383062,2023-04-25 20:21:43.529060,2023-04-25 20:31:21.245449,0 days 00:09:37.716389,0.03220246134846168,0.002469973406450731,COMPLETE
54,54,1.04011285285813,2023-04-25 20:31:21.245449,2023-04-25 20:33:53.282896,0 days 00:02:32.037447,0.5580994753632345,0.965695134280373,COMPLETE
55,55,0.8747060592864839,2023-04-25 20:33:53.282896,2023-04-25 20:37:15.992414,0 days 00:03:22.709518,0.09464118352529238,1.2452971517600082,COMPLETE
56,56,0.872244814959515,2023-04-25 20:37:15.992414,2023-04-25 20:40:23.365641,0 days 00:03:07.373227,0.20464412695612022,0.8082206906542777,COMPLETE
57,57,1.1705752708238513,2023-04-25 20:40:23.365641,2023-04-25 20:42:39.839138,0 days 00:02:16.473497,0.8125601667168009,1.8873538695111407,COMPLETE
58,58,1.0435405507311437,2023-04-25 20:42:39.839138,2023-04-25 20:45:06.356270,0 days 00:02:26.517132,0.9639816414881841,0.6453157634056307,COMPLETE
59,59,0.7464534021842752,2023-04-25 20:45:06.356270,2023-04-25 20:49:21.335201,0 days 00:04:14.978931,0.1711985395448593,0.42054218885306344,COMPLETE
60,60,1.1127950915854015,2023-04-25 20:49:21.335201,2023-04-25 20:51:48.221050,0 days 00:02:26.885849,0.5699491719393758,1.5302719409955297,COMPLETE
61,61,0.9782055739457706,2023-04-25 20:51:48.221050,2023-04-25 20:54:31.240480,0 days 00:02:43.019430,0.7876207439928078,0.5157041187143604,COMPLETE
62,62,1.15030580250173,2023-04-25 20:54:31.240480,2023-04-25 20:56:52.691741,0 days 00:02:21.451261,0.9960307308998875,1.3840677358775557,COMPLETE
63,63,0.621609852125002,2023-04-25 20:56:52.691741,2023-04-25 21:05:43.258830,0 days 00:08:50.567089,0.1664698497724137,0.02244938838136208,COMPLETE
64,64,0.7075777423999414,2023-04-25 21:05:43.258830,2023-04-25 21:10:59.880756,0 days 00:05:16.621926,0.17013773160553225,0.3005663901159071,COMPLETE
65,65,0.6215878156502905,2023-04-25 21:10:59.880756,2023-04-25 21:19:36.022814,0 days 00:08:36.142058,0.14419209178881665,0.031682731718399165,COMPLETE
66,66,1.1213721388938005,2023-04-25 21:19:36.023315,2023-04-25 21:22:00.301293,0 days 00:02:24.277978,0.9711095578436327,1.1107093983534722,COMPLETE
67,67,0.7271989633322457,2023-04-25 21:22:00.301293,2023-04-25 21:26:38.627359,0 days 00:04:38.326066,0.2212500789543942,0.3145552027668532,COMPLETE
68,68,1.0964110491601233,2023-04-25 21:26:38.628902,2023-04-25 21:29:06.539202,0 days 00:02:27.910300,0.7691007484874325,1.102697097598417,COMPLETE
69,69,1.0451905281997143,2023-04-25 21:29:06.539202,2023-04-25 21:31:41.089644,0 days 00:02:34.550442,0.5986828331387333,0.9458819753997476,COMPLETE
70,70,1.180973563688278,2023-04-25 21:31:41.089644,2023-04-25 21:34:01.478030,0 days 00:02:20.388386,0.9841290343139311,1.8766314644924238,COMPLETE
71,71,0.6253719232991835,2023-04-25 21:34:01.478030,2023-04-25 21:43:01.782205,0 days 00:09:00.304175,0.1547157422220989,0.00612723077443662,COMPLETE
72,72,0.6228183582851435,2023-04-25 21:43:01.783211,2023-04-25 21:53:01.534490,0 days 00:09:59.751279,0.0003639860286074742,0.012526682298020241,COMPLETE
73,73,0.6226608268779437,2023-04-25 21:53:01.534490,2023-04-25 22:01:58.212877,0 days 00:08:56.678387,0.015201265184953641,0.06283375284124126,COMPLETE
74,74,0.6955808776698559,2023-04-25 22:01:58.212877,2023-04-25 22:09:05.242945,0 days 00:07:07.030068,0.0060433199398880234,0.4728850858684455,COMPLETE
75,75,0.9402540519392814,2023-04-25 22:09:05.243974,2023-04-25 22:11:59.669455,0 days 00:02:54.425481,0.5142894137959201,0.5917655932582547,COMPLETE
76,76,0.6297835363594657,2023-04-25 22:11:59.669455,2023-04-25 22:21:53.459910,0 days 00:09:53.790455,0.15016500694150525,0.0009807895186134535,COMPLETE
77,77,1.0688559815087189,2023-04-25 22:21:53.459910,2023-04-25 22:24:25.884793,0 days 00:02:32.424883,0.44950868318446835,1.3500698173688923,COMPLETE
78,78,1.0773240635038221,2023-04-25 22:24:25.884793,2023-04-25 22:27:00.190396,0 days 00:02:34.305603,0.2732235213690394,1.9808203413220686,COMPLETE
79,79,0.7254456252611086,2023-04-25 22:27:00.190396,2023-04-25 22:31:30.289111,0 days 00:04:30.098715,0.19899398205878976,0.3281791111562433,COMPLETE
80,80,0.6593526666792684,2023-04-25 22:31:30.290137,2023-04-25 22:38:39.169333,0 days 00:07:08.879196,0.004437641329934031,0.2665032406204477,COMPLETE
81,81,0.6216817848936342,2023-04-25 22:38:39.169333,2023-04-25 22:48:00.287802,0 days 00:09:21.118469,0.0026088358270752194,0.016801904296101573,COMPLETE
82,82,0.6251085011400941,2023-04-25 22:48:00.287802,2023-04-25 22:56:57.613395,0 days 00:08:57.325593,0.23607901021521616,0.005954914622971791,COMPLETE
83,83,1.140081085618266,2023-04-25 22:56:57.613395,2023-04-25 22:59:22.023922,0 days 00:02:24.410527,0.5440774764603853,1.912743079620198,COMPLETE
84,84,0.627753084999337,2023-04-25 22:59:22.023922,2023-04-25 23:08:55.574968,0 days 00:09:33.551046,0.023594883585364088,0.002924260027685442,COMPLETE
85,85,0.6202951782476983,2023-04-25 23:08:55.574968,2023-04-25 23:17:50.551248,0 days 00:08:54.976280,0.0069645643660713255,0.03277169161965049,COMPLETE
86,86,1.1234937519921229,2023-04-25 23:17:50.551248,2023-04-25 23:20:15.483127,0 days 00:02:24.931879,0.718601736536725,1.4044962877613805,COMPLETE
87,87,0.6872574389239359,2023-04-25 23:20:15.483127,2023-04-25 23:26:05.087055,0 days 00:05:49.603928,0.14673397172979646,0.25587947669336447,COMPLETE
88,88,0.8846033569845033,2023-04-25 23:26:05.087055,2023-04-25 23:29:24.535175,0 days 00:03:19.448120,0.17244631329661042,0.9542069981018516,COMPLETE
89,89,0.6240254194773587,2023-04-25 23:29:24.535175,2023-04-25 23:38:25.841691,0 days 00:09:01.306516,0.1880517974638864,0.008251648340562315,COMPLETE
90,90,0.8361197991393684,2023-04-25 23:38:25.842691,2023-04-25 23:41:52.813178,0 days 00:03:26.970487,0.3753133142340548,0.44894379344836555,COMPLETE
91,91,0.6282009074110706,2023-04-25 23:41:52.813178,2023-04-25 23:50:35.576296,0 days 00:08:42.763118,0.011645045194323612,0.09782883091491781,COMPLETE
92,92,0.6636190748437216,2023-04-25 23:50:35.584411,2023-04-25 23:58:43.431490,0 days 00:08:07.847079,0.005860460217366052,0.2881527115618422,COMPLETE
93,93,0.6223082246030895,2023-04-25 23:58:43.431490,2023-04-26 00:07:51.326905,0 days 00:09:07.895415,0.006803217638266509,0.06135944329251285,COMPLETE
94,94,0.6202430956513715,2023-04-26 00:07:51.326905,2023-04-26 00:16:34.106598,0 days 00:08:42.779693,0.005195237458386687,0.03304829057248756,COMPLETE
95,95,0.9325397124687876,2023-04-26 00:16:34.109641,2023-04-26 00:19:21.206818,0 days 00:02:47.097177,0.37602572400899575,0.7203968467938489,COMPLETE
96,96,0.6309944322813135,2023-04-26 00:19:21.206818,2023-04-26 00:26:39.392715,0 days 00:07:18.185897,0.19907973994910944,0.06863215164601423,COMPLETE
97,97,0.9711510385236443,2023-04-26 00:26:39.392715,2023-04-26 00:29:42.947271,0 days 00:03:03.554556,0.11339485174605679,1.8689888778322366,COMPLETE
98,98,0.6218410143601971,2023-04-26 00:29:42.947271,2023-04-26 00:38:33.787268,0 days 00:08:50.839997,0.02027420239673055,0.015821368722864472,COMPLETE
99,99,0.6812640820702864,2023-04-26 00:38:33.787268,2023-04-26 00:45:27.539304,0 days 00:06:53.752036,0.007115880740176099,0.3850114265879507,COMPLETE
